"target_code","target_name","horizon","model","model_family","loss","n_evaluation","net_loss_reduction_vs_RW","gross_positive_loss_reduction","gross_loss_deterioration","share_months_better_than_RW","top_months","top_months_share_of_positive_reduction","top_months_share_of_deterioration"
"INDPRO","Industrial Production Index [INDPRO]",1,"Ridge","Regularization","SE",90,-0.0245186380000659,0.0089348880401836,0.0334535260402495,0.644444444444444,12,0.772258001883783,0.994921685517278
"INDPRO","Industrial Production Index [INDPRO]",1,"Factor","Factor","SE",90,-0.0427838772265218,0.00769042398554237,0.0504743012120642,0.611111111111111,12,0.750851134452943,0.989749180058306
"INDPRO","Industrial Production Index [INDPRO]",3,"XGBoost","Boosting","AE",90,0.406410165084752,0.511985982152126,0.105575817067374,0.6,12,0.748805205207166,0.648616631018549
"INDPRO","Industrial Production Index [INDPRO]",3,"Ridge","Regularization","AE",90,0.356839085044214,0.475613862150125,0.118774777105911,0.6,12,0.721422713579932,0.67801262000922
"INDPRO","Industrial Production Index [INDPRO]",3,"ElasticNet","Regularization","AE",90,0.352271193220162,0.452694007491058,0.100422814270896,0.611111111111111,12,0.714286002497235,0.650196410641114
"INDPRO","Industrial Production Index [INDPRO]",3,"Ensemble_InvRMSE","Ensemble","AE",90,0.34840374419599,0.429552989064348,0.0811492448683577,0.633333333333333,12,0.712880132185171,0.674786410414163
"INDPRO","Industrial Production Index [INDPRO]",3,"LASSO","Regularization","AE",90,0.348083370926229,0.448642480224285,0.100559109298056,0.622222222222222,12,0.710894204548766,0.649753349075221
"INDPRO","Industrial Production Index [INDPRO]",3,"Ensemble_Mean","Ensemble","AE",90,0.346867307032386,0.427340893015075,0.0804735859826898,0.655555555555556,12,0.71456082513208,0.677978862583684
"INDPRO","Industrial Production Index [INDPRO]",3,"Ensemble_Median","Ensemble","AE",90,0.345353604680481,0.444061180737525,0.098707576057044,0.611111111111111,12,0.717838372173476,0.643362509378068
"INDPRO","Industrial Production Index [INDPRO]",3,"BorutaRF","FeatureSelection+Tree","AE",90,0.331872748592854,0.450133163682261,0.118260415089407,0.5,12,0.771760367651112,0.638109457118942
"INDPRO","Industrial Production Index [INDPRO]",3,"AR(4)","Baseline","AE",90,0.314816028645697,0.441211213216514,0.126395184570817,0.588888888888889,12,0.717331646775037,0.673475962397114
"INDPRO","Industrial Production Index [INDPRO]",3,"RandomForest","Tree","AE",90,0.314489886678282,0.427268453449702,0.11277856677142,0.577777777777778,12,0.743660375806733,0.694821197976023
"INDPRO","Industrial Production Index [INDPRO]",3,"Factor","Factor","AE",90,0.246635662797911,0.351848420781232,0.105212757983321,0.566666666666667,12,0.68527751383041,0.579717819702452
"INDPRO","Industrial Production Index [INDPRO]",3,"RW","Baseline","AE",90,0,0,0,0,12,,
